機種,故障内容,原価,送料,利益率
Redmi Note 9S,画面交換（互換）,未対応,440,0.7
Redmi Note 9S,画面交換（再生品）,"4,152",440,0.7
Redmi Note 9S,バッテリー交換,"1,198",440,0.8
Mi 10 Lite 5G,画面交換,SOLD OUT,440,0.7
Mi 10 Lite 5G,バッテリー交換,904,440,0.8
Redmi  NOTE 9T,画面交換（互換）,未対応,440,0.7
Redmi  NOTE 9T,画面交換（再生品）,3015,440,0.7
Redmi  NOTE 9T,バッテリー交換,873,440,0.8
Redmi Note 9 Pro,画面交換,未対応,440,0.7
Redmi Note 9 Pro,バッテリー交換,1059,440,0.8
Redmi Note 10 Pro,画面交換,未対応,440,0.7
Redmi Note 10 Pro,バッテリー交換,1059,440,0.8
Mi 11 Lite 5G,画面交換,SOLD OUT,440,0.7
Mi 11 Lite 5G,バッテリー交換,966,440,0.8
Redmi Note 11,画面交換,未対応,440,0.7
Redmi Note 11,バッテリー交換,935,440,0.8
Redmi 12 5G,画面交換（互換）,未対応,440,0.7
Redmi 12 5G,画面交換（再生品）,3230,440,0.7
Redmi 12 5G,バッテリー交換,未対応,440,0.8
Pixel 5,画面交換（互換）,未対応,440,0.7
Pixel 5,画面交換（再生品）,"13,380",440,0.7
Pixel 5,バッテリー交換,755,440,0.8
Pixel 5a,画面交換（互換）,未対応,440,0.7
Pixel 5a,画面交換（再生品）,"8,414",440,0.7
Pixel 5a,バッテリー交換,787,440,0.8
Pixel 6,画面交換（互換）,"5,915",440,0.7
Pixel 6,画面交換（再生品）,"11,335",440,0.7
Pixel 6,バッテリー交換,755,440,0.8
Pixel 6a,バッテリー交換,836,440,0.8
Pixel 6a,画面交換（互換）,"6,544",440,0.7
Pixel 6a,画面交換（再生品）,SOLD OUT,440,0.7
Pixel 6 Pro,画面交換（互換）,"5,758",440,0.7
Pixel 6 Pro,画面交換（再生品）,"22,145",440,0.7
Pixel 6 Pro,バッテリー交換,"1,501",440,0.8
Pixel 7,画面交換（互換）,"5,758",440,0.7
Pixel 7,画面交換（再生品）,"14,841",440,0.7
Pixel 7,バッテリー交換,852,440,0.8
Pixel 7 Pro,画面交換（互換）,"5,758",440,0.7
Pixel 7 Pro,画面交換（再生品）,SOLD OUT,440,0.7
Pixel 7 Pro,バッテリー交換,未対応,440,0.8
Pixel 7a,画面交換（互換）,SOLD OUT,440,0.7
Pixel 7a,画面交換（再生品）,SOLD OUT,440,0.7
Pixel 7a,バッテリー交換,836,440,0.8
Pixel 8,画面交換（互換）,SOLD OUT,440,0.7
Pixel 8,画面交換（再生品）,"13,089",440,0.7
Pixel 8,バッテリー交換,701,440,0.8
Pixel 8 Pro,画面交換（互換）,"6,387",440,0.7
Pixel 8 Pro,画面交換（再生品）,"22,437",440,0.7
Pixel 8 Pro,バッテリー交換,未対応,440,0.8
Pixel 8a,画面交換（互換）,未対応,440,0.7
Pixel 8a,画面交換（再生品）,"12,504",440,0.7
Pixel 8a,バッテリー交換,未対応,440,0.8
Pixel 9,画面交換（互換）,未対応,440,0.7
Pixel 9,画面交換（再生品）,"11,335",440,0.7
Pixel 9,バッテリー交換,未対応,440,0.8
Pixel 9 Pro,画面交換（互換）,未対応,440,0.7
Pixel 9 Pro,画面交換（再生品）,"11,335",440,0.7
Pixel 9 Pro,バッテリー交換,未対応,440,0.8
Pixel 9a,画面交換（互換）,未対応,440,0.7
Pixel 9a,画面交換（再生品）,"12,942",440,0.7
Pixel 9a,バッテリー交換,未対応,440,0.8
Xperia 1 II,画面交換（互換）,未対応,440,0.7
Xperia 1 II,画面交換（再生品）,"14,213",440,0.7
Xperia 1 II,バッテリー交換,809,440,0.8
Xperia 5 II,画面交換（互換）,未対応,440,0.7
Xperia 5 II,画面交換（再生品）,"21,225",440,0.7
Xperia 5 II,バッテリー交換,809,440,0.8
